City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,pokhara,28.2333,83.9833,295.98,98,100,0.95,NP,1691797665
124,nema,57.5067,50.5011,289.35,77,7,1.01,RU,1691797889
125,konch,25.9833,79.15,300.7,67,94,5.37,IN,1691797889
126,san fernando de apure,7.8878,-67.4724,297.92,91,91,1.4,VE,1691797889
127,el matama,16.7095,33.3565,305.69,48,69,3.78,SD,1691797889
128,antofagasta,-23.65,-70.4,289.75,87,85,1.87,CL,1691797757
129,qarazhal,48.0078,70.7903,286.27,63,3,3.43,KZ,1691797889
130,sinabang,2.4803,96.3801,298.81,83,44,1.0,ID,1691797889
131,barcelos,41.5388,-8.6151,295.33,98,50,1.91,PT,1691797890
132,vorkuta,67.5,64.0,278.76,75,3,2.02,RU,1691797890
133,vilyuchinsk,52.9306,158.4028,293.3,65,50,1.13,RU,1691797890
134,bandar,2.05,99.75,296.17,96,92,0.7,ID,1691797890
135,invercargill,-46.4,168.35,281.49,93,100,2.68,NZ,1691797890
136,berezovyy,51.6667,135.7,296.86,51,100,0.62,RU,1691797890
137,susuman,62.7833,148.1667,293.25,40,30,1.35,RU,1691797890
138,weno,7.4515,151.8468,299.12,94,100,4.12,FM,1691797891
139,bandarban,22.1965,92.2262,298.99,98,100,1.25,BD,1691797891
140,vorgashor,67.5833,63.95,278.71,75,3,1.94,RU,1691797891
141,kristiansund,63.1115,7.732,285.18,93,100,2.06,NO,1691797891
142,darovskoy,58.77,47.9564,290.15,83,0,0.74,RU,1691797892
143,klaksvik,62.2266,-6.589,284.66,99,100,2.28,FO,1691797892
144,tavda,58.0425,65.2726,280.64,75,41,3.01,RU,1691797892
145,yuzhno-kurilsk,44.0306,145.8556,289.18,90,100,4.41,RU,1691797892
146,igarka,67.4667,86.5833,281.81,69,79,6.98,RU,1691797892
147,hithadhoo,-0.6,73.0833,300.72,73,100,6.37,MV,1691797892
148,ust-nera,64.5667,143.2,296.15,40,1,1.16,RU,1691797739
149,hasaki,35.7333,140.8333,303.31,81,57,3.82,JP,1691797893
150,mhamid,29.82,-5.72,306.97,13,0,3.38,MA,1691797893
151,heroica caborca,30.7167,-112.15,309.88,28,2,9.25,MX,1691797893
152,madang,-5.2246,145.7966,301.35,69,52,1.56,PG,1691797893
153,anloga,5.7947,0.8973,297.61,85,21,5.61,GH,1691797893
154,dera ismail khan,31.8327,70.9024,307.96,36,0,4.4,PK,1691797894
155,solleftea,63.1667,17.2667,287.07,98,31,1.29,SE,1691797894
156,bulgan,48.8125,103.5347,289.37,72,18,1.0,MN,1691797894
157,kirakira,-10.4544,161.9205,298.66,82,78,7.0,SB,1691797894
158,port augusta,-32.5,137.7667,291.07,35,98,7.5,AU,1691797894
159,padang,-0.9492,100.3543,296.18,89,14,1.75,ID,1691797894
160,thompson,55.7435,-97.8558,294.24,43,75,2.57,CA,1691797894
161,magadan,59.5667,150.8,292.89,74,36,0.9,RU,1691797895
162,voghera,44.9947,9.0086,297.08,82,3,0.18,IT,1691797895
163,mega,4.05,38.3,289.07,70,100,7.79,ET,1691797895
164,new plymouth,-39.0667,174.0833,286.38,77,100,1.97,NZ,1691797895
165,pitimbu,-7.4706,-34.8086,296.48,77,19,5.18,BR,1691797895
166,moranbah,-22.0016,148.0466,293.1,40,0,1.22,AU,1691797895
167,primero de enero,21.9469,-78.4283,300.38,84,95,2.79,CU,1691797896
168,ewo,-0.8725,14.8206,297.63,80,100,1.31,CG,1691797896
169,al mishkhab,31.8042,44.4911,311.66,15,0,7.17,IQ,1691797896
170,kruisfontein,-34.0033,24.7314,291.6,26,0,4.55,ZA,1691797896
171,jinjiang,24.8198,118.5741,301.49,85,60,1.17,CN,1691797896
172,alofi,-19.0595,-169.9187,301.09,83,97,3.6,NU,1691797897
173,gizo,-8.103,156.8419,299.43,84,70,11.39,SB,1691797897
174,yanykurgan,43.915,67.2481,294.37,44,0,7.83,KZ,1691797897
175,sinop,41.7711,34.8709,290.75,94,44,1.29,TR,1691797897
176,narrabri,-30.3167,149.7833,291.67,31,3,3.43,AU,1691797897
177,tamandare,-8.7597,-35.1047,297.03,80,8,4.48,BR,1691797898
178,new norfolk,-42.7826,147.0587,283.87,72,63,3.58,AU,1691797898
179,linden,6.0,-58.3,298.17,79,86,1.59,GY,1691797898
180,konarka,19.9,86.1167,300.37,78,98,4.46,IN,1691797898
181,stanley,54.868,-1.6985,287.44,83,0,3.6,GB,1691797898
182,dakhla,23.6848,-15.958,295.23,83,84,7.06,EH,1691797898
183,tarauaca,-8.1614,-70.7656,299.12,71,72,0.15,BR,1691797898
184,nola,40.922,14.5329,298.66,38,3,2.22,IT,1691797899
185,daru,-9.0763,143.2092,298.09,68,100,6.37,PG,1691797899
186,praya,14.9215,-23.5087,300.45,69,20,3.09,CV,1691797899
187,semnan,35.5729,53.3971,299.6,24,0,2.39,IR,1691797899
188,o rosal,41.9354,-8.8368,295.68,97,82,3.23,ES,1691797899
189,saint-philippe,-21.3585,55.7679,294.92,81,8,4.53,RE,1691797899
190,leticia,-4.2153,-69.9406,301.14,89,20,1.54,CO,1691797900
191,basco,20.4487,121.9702,301.17,86,100,8.88,PH,1691797900
192,klyuchi,52.2667,79.1667,286.09,87,94,3.39,RU,1691797900
193,tralee,52.2704,-9.7026,288.77,93,99,5.95,IE,1691797900
194,singkil,-7.9855,111.4161,295.42,78,83,1.83,ID,1691797900
195,alice springs,-23.7,133.8833,292.9,28,0,0.0,AU,1691797900
196,yanbu,24.0891,38.0637,303.17,58,0,4.12,SA,1691797901
197,khalkhal,37.6189,48.5258,290.04,22,0,2.04,IR,1691797901
198,colonia,50.9333,6.95,294.98,88,20,3.6,DE,1691797868
199,aripuana,-9.1667,-60.6333,299.0,63,83,1.1,BR,1691797901
200,umluj,25.0213,37.2685,302.98,66,0,3.02,SA,1691797902
201,matamey,13.4231,8.4749,301.68,59,100,0.26,NE,1691797902
202,flying fish cove,-10.4217,105.6791,296.97,88,100,5.14,CX,1691797903
203,porto novo,6.4965,2.6036,298.05,91,56,2.33,BJ,1691797903
